,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6,-73.97,82.99,60,93,5.93,US,1595536840
1,hermanus,-34.42,19.23,59.0,84,0,4.0,ZA,1595536841
2,makakilo city,21.35,-158.09,84.2,54,1,11.41,US,1595536675
3,kupang,-10.17,123.58,70.79,79,30,9.91,ID,1595536365
4,hasaki,35.73,140.83,70.0,100,75,2.24,JP,1595536745
5,faanui,-16.48,-151.75,77.56,81,1,18.5,PF,1595536545
6,kiknur,57.3,47.2,55.13,92,99,7.47,RU,1595536842
7,jijiga,9.35,42.8,61.59,83,30,11.52,ET,1595536842
8,selje,62.05,5.35,57.2,62,41,9.17,NO,1595536843
9,castro,-24.79,-50.01,62.29,73,0,3.98,BR,1595536545
10,punta arenas,-53.15,-70.92,39.2,80,75,23.04,CL,1595536463
11,georgetown,5.41,100.34,80.6,88,20,5.75,MY,1595536619
12,atuona,-9.8,-139.03,78.8,76,2,18.37,PF,1595536843
13,mataura,-46.19,168.86,39.0,83,75,3.0,NZ,1595536584
14,praia da vitoria,38.73,-27.07,71.6,64,20,3.91,PT,1595536844
15,sergeyevka,53.88,67.42,61.54,91,70,13.6,KZ,1595536844
16,oistins,13.07,-59.53,87.8,58,40,13.87,BB,1595536844
17,bluff,-46.6,168.33,39.0,83,99,3.0,NZ,1595536845
18,codrington,-38.27,141.97,38.35,90,100,9.75,AU,1595536845
19,coxim,-18.51,-54.76,85.89,22,0,4.38,BR,1595536845
20,avarua,-21.21,-159.78,77.0,88,5,5.82,CK,1595536846
21,vao,-22.67,167.48,69.39,80,3,18.52,NC,1595536846
22,hami,42.8,93.45,75.74,47,75,4.79,CN,1595536846
23,hithadhoo,-0.6,73.08,83.17,66,74,3.49,MV,1595536846
24,vaini,-21.2,-175.2,69.8,94,75,6.93,TO,1595536846
25,kapaa,22.08,-159.32,82.4,74,20,11.41,US,1595536847
26,puerto ayora,-0.74,-90.35,78.8,65,20,23.04,EC,1595536599
27,ponta do sol,32.67,-17.1,68.0,71,0,3.02,PT,1595536847
28,airdrie,55.87,-3.98,61.0,83,76,3.0,GB,1595536845
29,silver city,32.77,-108.28,75.2,57,75,10.29,US,1595536848
30,san patricio,19.22,-104.7,84.2,100,75,8.34,MX,1595536848
31,el prat de llobregat,41.33,2.09,79.0,74,0,3.36,ES,1595536848
32,karratha,-20.74,116.85,68.2,42,0,6.35,AU,1595536602
33,khatanga,71.97,102.5,42.42,90,100,16.64,RU,1595536849
34,kaitangata,-46.28,169.85,39.99,76,91,3.0,NZ,1595536849
35,floro,61.6,5.03,60.8,55,0,9.17,NO,1595536850
36,aksu,41.12,80.26,75.56,32,52,3.09,CN,1595536588
37,tasiilaq,65.61,-37.64,37.4,93,96,9.17,GL,1595536583
38,chokurdakh,70.63,147.92,70.2,56,47,4.76,RU,1595536612
39,ushuaia,-54.8,-68.3,41.0,65,75,4.7,AR,1595536851
40,bredasdorp,-34.53,20.04,51.8,93,0,3.36,ZA,1595536851
41,general pico,-35.66,-63.76,44.53,84,100,19.8,AR,1595536851
42,lakes entrance,-37.88,147.98,33.01,96,19,4.47,AU,1595536851
43,cape town,-33.93,18.42,55.99,93,90,2.24,ZA,1595536760
44,salamiyah,35.01,37.05,74.95,63,0,8.52,SY,1595536852
45,butaritari,3.07,172.79,82.29,79,20,15.52,KI,1595536581
46,genhe,50.78,121.52,63.52,71,50,3.38,CN,1595536852
47,tura,25.52,90.22,73.99,98,99,4.23,IN,1595536853
48,esperance,-33.87,121.9,54.45,70,5,13.51,AU,1595536853
49,dharangaon,21.02,75.27,77.52,91,100,6.38,IN,1595536853
50,yellowknife,62.46,-114.35,60.01,93,90,13.87,CA,1595536853
51,sao filipe,14.9,-24.5,77.7,87,100,8.16,CV,1595536854
52,dikson,73.51,80.55,41.4,88,0,5.44,RU,1595536854
53,pevek,69.7,170.31,47.43,75,11,10.94,RU,1595536854
54,tuktoyaktuk,69.45,-133.04,57.2,54,75,16.11,CA,1595536854
55,hobart,-42.88,147.33,39.99,80,75,4.7,AU,1595536756
56,fortuna,40.6,-124.16,66.99,77,40,14.99,US,1595536855
